title,A Deep Learning Framework for Spatiotemporal Ultrasound Localization Microscopy,A Diffusion-Model of Joint Interactive Navigation,A Distributed Data-Parallel PyTorch Implementation of the Distributed Shampoo Optimizer for Training Neural Networks At-Scale,A Reduction from Reinforcement Learning to No-Regret Online Learning,A Study of Human-Robot Handover through Human-Human Object Transfer,A Survey on Deep Learning for Theorem Proving,A comparison of RL-based and PID controllers for 6-DOF swimming robots: hybrid underwater object tracking,An Empirical Study of Self-Admitted Technical Debt in Machine Learning Software,An Intentional Forgetting-Driven Self-Healing Method For Deep Reinforcement Learning Systems,Ant Colony Sampling with GFlowNets for Combinatorial Optimization,Antagonistic AI,Are Diffusion Models Vision-And-Language Reasoners?,Are self-explanations from Large Language Models faithful?,Bayesian Imaging for Radio Interferometry with Score-Based Priors,Benchmarking Neural Network Training Algorithms,Beyond the ML Model: Applying Safety Engineering Frameworks to Text-to-Image Development,"Bigger, Better, Faster: Human-level Atari with human-level efficiency",Bootstrapping Adaptive Human-Machine Interfaces with Offline Reinforcement Learning,Bug Characterization in Machine Learning-based Systems,CAMMARL : Conformal Action Modeling in Multi Agent Reinforcement Learning,CAMMARL: Conformal Action Modeling in Multi Agent Reinforcement Learning,Characterizing and Classifying Developer Forum Posts with their Intentions,"ChatGPT vs LLaMA: Impact, Reliability, and Challenges in Stack Overflow Discussions",Closing the Gap Between TD Learning and Supervised Learning – A Generalisation Point of View,Closing the Gap Between TD Learning and Supervised Learning – A Generalization Point of View,CommonAccent: Exploring Large Acoustic Pretrained Models for Accent Classification Based on Common Voice,ConceptGraphs: Open-Vocabulary 3D Scene Graphs for Perception and Planning,Consciousness in Artificial Intelligence: Insights from the Science of Consciousness,DP-RDM: Adapting Diffusion Models to Private Domains Without Fine-Tuning,Deploying Deep Reinforcement Learning Systems: A Taxonomy of Challenges,DiffPack: A Torsional Diffusion Model for Autoregressive Protein Side-Chain Packing,Differentiable Visual Computing for Inverse Problems and Machine Learning,Effective Latent Differential Equation Models via Attention and Multiple Shooting,Efficient Graph Generation with Graph Recurrent Attention Networks,Energy Sufficiency in Unknown Environments via Control Barrier Functions,Explainable Attention for Few-shot Learning and Beyond,Fairness Through Domain Awareness: Mitigating Popularity Bias For Music Discovery,"FoMo-Bench: a multi-modal, multi-scale and multi-task Forest Monitoring Benchmark for remote sensing foundation models",GRAPH TEXT: GRAPH REASONING IN TEXT SPACE,Gemini 1.5: Unlocking multimodal understanding across millions of tokens of context,Gemini: A Family of Highly Capable Multimodal Models,Generalization Limits of Graph Neural Networks in Identity Effects Learning,Graph Inductive Biases in Transformers without Message Passing,How Connectivity Structure Shapes Rich and Lazy Learning in Neural Circuits,ICE-SEARCH: A Language Model-Driven Feature Selection Approach,Implicit Diffusion: Efficient Optimization through Stochastic Sampling,Implicit meta-learning may lead language models to trust more reliable sources,Improving Automatic VQA Evaluation Using Large Language Models,Improving Language Plasticity via Pretraining with Active Forgetting,Improving Robustness and Reliability in Medical Image Classification with Latent-Guided Diffusion and Nested-Ensembles,Improving day-ahead Solar Irradiance Time Series Forecasting by Leveraging Spatio-Temporal Context,In-Context Learning for Text Classification with Many Labels,JaxPruner: A Concise Library for Sparsity Research,Joint Machine-Transporter Scheduling for Multistage Jobs with Adjustable Computation Time,Learning Reliable Logical Rules with SATNet,Learning to Scale Logits for Temperature-Conditional GFlowNets,Listenable Maps for Audio Classifiers,LitLLM: A Toolkit for Scientific Literature Review,Masked Autoencoders are Scalable Learners of Cellular Biology,Maximum State Entropy Exploration using Predecessor and Successor Representations,Meta - (Out - Of - Context) Learning in Neural Networks,Meta-Graph: Few Shot Link Prediction via Meta Learning,Meta-Value Learning: A General Framework for Learning with Learning Awareness,Navigation Agents for the Visually Impaired: A Sidewalk Simulator and Experiments,Neighbor-Aware Calibration of Segmentation Networks with Penalty-Based Constraints,Neural Bee Colony Optimization: A Case Study in Public Transit Network Design,Neural Multisensory Scene Inference,Neural Progressive Meshes,Neural Semantic Surface Maps,"Nonparametric Partial Disentanglement via Mechanism Sparsity: Sparse Actions, Interventions and Sparse Temporal Dependencies",OC-NMN: Object-centric Compositional Neural Module Network for Generative Visual Analogical Reasoning,ON THE STABILITY OF A NON-HYPERBOLIC NONLINEAR MAP WITH NON-BOUNDED SET OF NON-ISOLATED FIXED POINTS WITH APPLICATIONS TO MACHINE LEARNING,On the Scalability of GNNs for Molecular Graphs,Open-Set Multivariate Time-Series Anomaly Detection,Ordered Memory,PUG: Photorealistic and Semantically Controllable Synthetic Data for Representation Learning,PhotoBot: Reference-Guided Interactive Photography via Natural Language,PhyloGFN: Phylogenetic Inference with Generative Flow Networks,Pre-Training and Fine-Tuning Generative Flow Networks,Prediction and Control in Continual Reinforcement Learning,Probabilistic Mobility Load Balancing for Multi-band 5G and Beyond Networks,Promoting Fair Vaccination Strategies Through Influence Maximization: A Case Study on COVID-19 Spread,Prospects for Detecting the Diffuse Supernova Neutrino Background with JUNO,Pruning Sparse Tensor Neural Networks Enables Deep Learning for 3D Ultrasound Localization Microscopy,Pruning Sparse Tensor Neural Networks Enables Deep Learning for D Ultrasound Localization Microscopy,Real-Time Simultaneous Localization and Mapping with LiDAR Intensity,Realistically distributing object placements in synthetic training data improves the performance of vision-based object detection models,Risk-Aware Bid Optimization for Online Display Advertisement,Robust Perception through Equivariance,Scaling Laws Do Not Scale,Scaling up ridge regression for brain encoding in a massive individual fMRI dataset,Small batch deep reinforcement learning,Studying the Practices of Testing Machine Learning Software in the Wild,Substituting Data Annotation with Balanced Updates and Collective Loss in Multi-Label Text Classification,Swarm-SLAM: Sparse Decentralized Collaborative Simultaneous Localization and Mapping Framework for Multi-Robot Systems,"Symmetry-Informed Geometric Representation for Molecules, Proteins, and Crystalline Materials",TAAL: Test-time Augmentation for Active Learning in Medical Image Segmentation,Teacher-Student Architecture for Knowledge Distillation: A Survey,The BigScience ROOTS Corpus: A 1.6TB Composite Multilingual Dataset,Think Before You Act: Decision Transformers with Internal Working Memory,Tidying Up the Conversational Recommender Systems’ Biases,Toward Metrics for Differentiating Out-of-Distribution Sets,Towards contrast-agnostic soft segmentation of the spinal cord,Transductive Learning for Textual Few-Shot Classification in API-based Embedding Models,Transformers in Reinforcement Learning: A Survey,Tree Cross Attention,Unsupervised Layer-wise Score Aggregation for Textual OOD Detection,V-STaR: Training Verifiers for Self-Taught Reasoners,Video Killed the HD-Map: Predicting Multi-Agent Behavior Directly From Aerial Images,X TREME -U P: A User-Centric Scarce-Data Benchmark for Under-Represented Languages,XTREME-UP: A User-Centric Scarce-Data Benchmark for Under-Represented Languages
A Deep Learning Framework for Spatiotemporal Ultrasound Localization Microscopy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Diffusion-Model of Joint Interactive Navigation,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Distributed Data-Parallel PyTorch Implementation of the Distributed Shampoo Optimizer for Training Neural Networks At-Scale,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Reduction from Reinforcement Learning to No-Regret Online Learning,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Study of Human-Robot Handover through Human-Human Object Transfer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Survey on Deep Learning for Theorem Proving,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A comparison of RL-based and PID controllers for 6-DOF swimming robots: hybrid underwater object tracking,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An Empirical Study of Self-Admitted Technical Debt in Machine Learning Software,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An Intentional Forgetting-Driven Self-Healing Method For Deep Reinforcement Learning Systems,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ant Colony Sampling with GFlowNets for Combinatorial Optimization,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antagonistic AI,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Are Diffusion Models Vision-And-Language Reasoners?,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Are self-explanations from Large Language Models faithful?,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
